code_ibge,up,city,Vivo,TIM,Claro,Oi,Algar,Nextel,total
3500105,SP,Adamantina,X,X,X,-,-,-,3
3500204,SP,Adolfo,X,X,X,-,-,-,3
3500303,SP,Aguaí,X,X,X,X,-,-,4
3500402,SP,Águas da Prata,X,X,X,-,-,-,3
3500501,SP,Águas de Lindóia,X,X,X,-,-,-,3
3500550,SP,Águas de Santa Bárbara,X,X,X,-,-,-,3
3500600,SP,Águas de São Pedro,X,X,X,-,-,-,3
3500709,SP,Agudos,X,X,X,-,-,-,3
3500758,SP,Alambari,X,X,X,-,-,-,3
3500808,SP,Alfredo Marcondes,X,X,X,-,-,-,3
3500907,SP,Altair,X,X,X,-,-,-,3
3501004,SP,Altinópolis,X,X,X,-,-,-,3
3501103,SP,Alto Alegre,X,X,X,-,-,-,3
3501152,SP,Alumínio,X,X,X,-,-,-,3
3501202,SP,Álvares Florence,X,X,X,-,-,-,3
3501301,SP,Álvares Machado,X,X,X,-,-,-,3
3501400,SP,Álvaro de Carvalho,X,X,X,-,-,-,3
3501509,SP,Alvinlândia,X,X,-,-,-,-,2
3501608,SP,Americana,X,X,X,X,-,-,4
3501707,SP,Américo Brasiliense,X,X,X,-,-,-,3
3501806,SP,Américo de Campos,X,X,-,-,-,-,2
3501905,SP,Amparo,X,X,X,-,-,-,3
3502002,SP,Analândia,X,X,X,-,-,-,3
3502101,SP,Andradina,X,X,X,-,-,-,3
3502200,SP,Angatuba,X,X,X,-,-,-,3
3502309,SP,Anhembi,X,X,X,-,-,-,3
3502408,SP,Anhumas,X,X,X,-,-,-,3
3502507,SP,Aparecida,X,X,X,-,-,-,3
3502606,SP,Aparecida d'Oeste,X,X,X,-,-,-,3
3502705,SP,Apiaí,X,X,X,-,-,-,3
3502754,SP,Araçariguama,X,X,X,-,-,-,3
3502804,SP,Araçatuba,X,X,X,X,-,-,4
3502903,SP,Araçoiaba da Serra,X,X,X,-,-,-,3
3503000,SP,Aramina,X,X,X,-,-,-,3
3503109,SP,Arandu,X,X,X,-,-,-,3
3503158,SP,Arapeí,X,X,-,-,-,-,2
3503208,SP,Araraquara,X,X,X,X,-,-,4
3503307,SP,Araras,X,X,X,X,-,-,4
3503356,SP,Arco-Íris,X,X,-,-,-,-,2
3503406,SP,Arealva,X,X,X,-,-,-,3
3503505,SP,Areias,X,X,X,-,-,-,3
3503604,SP,Areiópolis,X,X,X,-,-,-,3
3503703,SP,Ariranha,X,X,X,-,-,-,3
3503802,SP,Artur Nogueira,X,X,X,-,-,-,3
3503901,SP,Arujá,X,X,X,-,-,-,3
3503950,SP,Aspásia,X,X,-,-,-,-,2
3504008,SP,Assis,X,X,X,-,-,-,3
3504107,SP,Atibaia,X,X,X,X,-,-,4
3504206,SP,Auriflama,X,X,X,-,-,-,3
3504305,SP,Avaí,X,X,X,-,-,-,3
3504404,SP,Avanhandava,X,X,X,-,-,-,3
3504503,SP,Avaré,X,X,X,-,-,-,3
3504602,SP,Bady Bassitt,X,X,X,-,-,-,3
3504701,SP,Balbinos,X,X,-,-,-,-,2
3504800,SP,Bálsamo,X,X,X,-,-,-,3
3504909,SP,Bananal,X,X,X,-,-,-,3
